vaccine_intention,age,age_finished_education,education_level,gender,income_household,income_personal,marital_status,social_grade,region,past_vote_ge2019,past_vote_euref,recoded_education_level
Very unlikely,49,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Never married,C2,South East,NA,I did not vote,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,51,16,City & Guilds certificate,Male,"£100,000 to £149,999 per year","£50,000 to £59,999 per year",Married,C2,East Midlands,Don't know,I voted to Leave,Professional
Very unlikely,48,20,GCE A level or Higher Certificate,Male,"under £5,000 per year","£5,000 to £9,999 per year",Never married,E,East Midlands,Labour,I voted to Remain,Level-2
Fairly likely,25,19,City & Guilds certificate,Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Living as married,E,West Midlands,NA,I did not vote,Professional
Don’t know,28,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£60,000 to £69,999 per year","£25,000 to £29,999 per year",Living as married,C1,South West,NA,I voted to Remain,Level-3
Fairly likely,22,NA,GCE A level or Higher Certificate,Female,"£5,000 to £9,999 per year",NA,NA,D,Wales,NA,I did not vote,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,62,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£70,000 to £99,999 per year","£60,000 to £69,999 per year",Married,B,East of England,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,52,20,"Other technical, professional or higher qualification",Male,Don't know,"£15,000 to £19,999 per year",Never married,C2,East Midlands,NA,I did not vote,Other
Very likely,30,19,GCE A level or Higher Certificate,Male,"£40,000 to £44,999 per year","£40,000 to £44,999 per year",Married,C1,Wales,NA,I did not vote,Level-2
Fairly likely,30,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£70,000 to £99,999 per year","£50,000 to £59,999 per year",Married,B,East of England,Liberal Democrat,I voted to Leave,Level-4
Very likely,53,NA,University diploma,Female,"£50,000 to £59,999 per year",NA,Married,C1,East Midlands,Labour,I voted to Leave,Level-3
Fairly likely,44,20,Teaching qualification (not degree),Female,"£70,000 to £99,999 per year",NA,Married,B,South East,NA,I did not vote,Level-3
Very unlikely,34,15 or under,Don't know,Male,"£20,000 to £24,999 per year","£15,000 to £19,999 per year",Never married,D,Wales,NA,I did not vote,Other
Very likely,33,17-18,GCE A level or Higher Certificate,Female,"£70,000 to £99,999 per year","£40,000 to £44,999 per year",Living as married,C1,East of England,NA,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,31,16,Scottish Higher Certificate,Male,"£60,000 to £69,999 per year","£35,000 to £39,999 per year",Married,C1,Scotland,NA,I did not vote,Level-2
Very likely,46,17-18,No formal qualifications,Female,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Married,D,South East,NA,I did not vote,Level-0
Very likely,18,Still at school/Full time student,GCE A level or Higher Certificate,Female,"£35,000 to £39,999 per year",Prefer not to answer,Never married,C2,London,NA,I did not vote,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,24,20,Prefer not to say,Male,Prefer not to answer,Prefer not to answer,Married,E,West Midlands,NA,I did not vote,Other
Very likely,22,Still at school/Full time student,GCE A level or Higher Certificate,Female,Don't know,"under £5,000 per year",Never married,C1,South West,Conservative,I did not vote,Level-2
Very likely,73,NA,City & Guilds certificate - advanced,Female,"£20,000 to £24,999 per year",NA,Married,B,South West,Conservative,I did not vote,Professional
Very likely,35,17-18,City & Guilds certificate - advanced,Female,Don't know,"£40,000 to £44,999 per year",Never married,C2,London,NA,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,58,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£100,000 to £149,999 per year","£70,000 to £99,999 per year",NA,B,East of England,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,38,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£70,000 to £99,999 per year","£50,000 to £59,999 per year",Divorced,A,West Midlands,Labour,I voted to Remain,Level-3
Fairly likely,27,16,"Other technical, professional or higher qualification",Female,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Never married,B,London,Brexit Party,I voted to Leave,Other
Very likely,38,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£45,000 to £49,999 per year",NA,NA,B,London,NA,I did not vote,Level-3
Very likely,42,17-18,Teaching qualification (not degree),Male,"£100,000 to £149,999 per year","under £5,000 per year",Married,A,Wales,Conservative,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,69,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£20,000 to £24,999 per year","£25,000 to £29,999 per year",Divorced,B,South East,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,50,NA,"Other technical, professional or higher qualification",Male,"£60,000 to £69,999 per year","£40,000 to £44,999 per year",Married,B,Scotland,Scottish National Party (SNP),I voted to Remain,Other
Very likely,65,16,GCE A level or Higher Certificate,Female,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Divorced,C2,South East,Conservative,I voted to Remain,Level-2
Very likely,56,NA,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£70,000 to £99,999 per year",NA,NA,A,South East,Green,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,34,20,GCE A level or Higher Certificate,Male,"£25,000 to £29,999 per year","£15,000 to £19,999 per year",Never married,C2,North West,NA,I voted to Remain,Level-2
Very unlikely,20,17-18,GCE A level or Higher Certificate,Female,"£20,000 to £24,999 per year","under £5,000 per year",Never married,E,London,NA,I did not vote,Level-2
Fairly likely,29,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£50,000 to £59,999 per year",Prefer not to answer,Never married,C2,Wales,Conservative,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,32,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£70,000 to £99,999 per year","£50,000 to £59,999 per year",Married,A,South West,Labour,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,47,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£150,000 and over",Prefer not to answer,Married,A,South East,NA,I did not vote,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Married,C1,North East,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,40,20,GCE A level or Higher Certificate,Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Separated (after being married),D,West Midlands,Labour,I voted to Remain,Level-2
Fairly likely,39,17-18,GCE A level or Higher Certificate,Male,Prefer not to answer,Prefer not to answer,Living as married,C1,South East,NA,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,17-18,Prefer not to say,Female,Prefer not to answer,Prefer not to answer,Widowed,E,South East,Conservative,I voted to Remain,Other
Don’t know,48,Can't remember,Youth training certificate/skillseekers,Male,Prefer not to answer,Prefer not to answer,Never married,D,London,NA,Can’t remember,Professional
Very likely,36,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£40,000 to £44,999 per year","£10,000 to £14,999 per year",Married,B,East of England,NA,I did not vote,Level-3
Very likely,62,20,"Other technical, professional or higher qualification",Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Married,B,East Midlands,Liberal Democrat,I voted to Remain,Other
Very likely,18,17-18,Scottish Higher Certificate,Male,Prefer not to answer,Don't know,Living as married,C1,Scotland,NA,I did not vote,Level-2
Very likely,55,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£50,000 to £59,999 per year","£20,000 to £24,999 per year",Never married,C1,South West,Conservative,I voted to Leave,Level-3
Fairly likely,54,16,No formal qualifications,Female,Prefer not to answer,NA,Married,B,Scotland,NA,I did not vote,Level-0
Very likely,43,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£100,000 to £149,999 per year",NA,NA,A,South West,NA,I voted to Remain,Level-3
Very likely,53,16,City & Guilds certificate - advanced,Male,"£30,000 to £34,999 per year","£15,000 to £19,999 per year",Never married,C2,Yorkshire and the Humber,Brexit Party,I voted to Leave,Professional
Very likely,21,Still at school/Full time student,GCE A level or Higher Certificate,Female,"£25,000 to £29,999 per year","£5,000 to £9,999 per year",Never married,C1,South West,Labour,I did not vote,Level-2
Very likely,37,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£10,000 to £14,999 per year","under £5,000 per year",Never married,B,South East,Labour,I voted to Remain,Level-3
Very unlikely,41,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,NA,NA,NA,A,North West,Conservative,I did not vote,Level-3
Fairly likely,23,17-18,Don't know,Female,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Living as married,E,North West,NA,I did not vote,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,23,17-18,No formal qualifications,Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,E,South East,NA,I did not vote,Level-0
Very likely,26,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Never married,C1,Scotland,Don't know,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,51,17-18,GCE A level or Higher Certificate,Female,"£60,000 to £69,999 per year","£15,000 to £19,999 per year",Married,A,East of England,Labour,I voted to Remain,Level-2
Very likely,52,NA,CSE grades 2-5,Female,"£35,000 to £39,999 per year","£35,000 to £39,999 per year",Never married,A,Yorkshire and the Humber,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,23,Still at school/Full time student,Scottish Higher Certificate,Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Never married,C1,Scotland,NA,I did not vote,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,62,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,NA,NA,A,South East,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,57,16,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,Prefer not to answer,Prefer not to answer,Never married,D,Wales,Conservative,I voted to Leave,Level-4
Fairly likely,31,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£20,000 to £24,999 per year","under £5,000 per year",Living as married,C1,North West,NA,I did not vote,Level-3
Fairly likely,29,19,GCE A level or Higher Certificate,Female,"£50,000 to £59,999 per year","£50,000 to £59,999 per year",Living as married,D,East Midlands,NA,I did not vote,Level-2
Very likely,43,NA,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£20,000 to £24,999 per year",NA,NA,B,South West,NA,I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,29,NA,Prefer not to say,Female,Prefer not to answer,Prefer not to answer,Married,C1,East of England,Labour,I voted to Remain,Other
Very likely,40,NA,"Other technical, professional or higher qualification",Female,"£50,000 to £59,999 per year","£20,000 to £24,999 per year",Married,B,East Midlands,Conservative,I voted to Remain,Other
Very likely,38,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£70,000 to £99,999 per year","£20,000 to £24,999 per year",Married,C1,North East,Labour,I did not vote,Level-3
Very likely,41,17-18,"Other technical, professional or higher qualification",Female,NA,NA,Married,B,South East,Conservative,I voted to Leave,Other
Very unlikely,31,16,GCE A level or Higher Certificate,Male,"£50,000 to £59,999 per year","£30,000 to £34,999 per year",Living as married,C2,North East,Labour,I voted to Remain,Level-2
Fairly likely,29,17-18,GCE A level or Higher Certificate,Female,"£50,000 to £59,999 per year",NA,NA,A,East of England,Labour,I voted to Remain,Level-2
Very likely,26,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£45,000 to £49,999 per year",NA,Living as married,B,West Midlands,NA,I did not vote,Level-4
Very likely,48,16,GCE A level or Higher Certificate,Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Married,D,East Midlands,Conservative,I voted to Leave,Level-2
